addresses;emerald_balance;eth_balance;erc20_input_tx_count;erc20_output_tx_count;erc20_amount_in;erc20_amount_out;erc20_balance;transfer_input_tx_count;transfer_output_tx_count;transfer_output_balance;swap_ledger_emerald_bought;swap_ledger_emerald_sold;swap_ledger_ether_gained;swap_ledger_ether_spent;swap_ledger_emerald_received;swap_ledger_eth_received;swap_ledger_received_from;swap_ledger_tx_list;os_eth_spent;os_eth_gained;os_emeralds_bought;os_emeralds_sold;ox_txs;is_contract
0x68b4Da6C2DfdC08f0609a7785A5412AaB92Df8d2;2.0;-0.191;1;0;2.0;0.0;2.0;2;0;2;2.0;0.0;0.0;0.191;0.0;0.0;0x5d9170fdc11255f952a61bd40f25e94eb36a9b4d587646ceec3e5248b06297cf;;0.0;0.0;0;0;;False
0xA50c08f58801C07be3f050229571d6e31Fa466d6;0.0;0.4197;1;1;9.0;9.0;0.0;0;0;0;9.0;9.0;0.6769;0.2572;0.0;0.0;0x43c8aff05089deba22bbd60d295a4b9843dfda4aa1da7e1b8ca2cb1860dbf404, 0x2a55d1f1ae15cd7a42be9f473d889df4a55d6fc304ca71f0e01a20607265de1f;;0.0;0.0;0;0;;False
0xA55E8f346a2E48045F0418AAe297aae166F614ce;0.0;0.911;1;1;32.61;32.61;0.0;32;32;0;32.62;32.61;2.911;2.0;0.0;0.0;0xe2f7d82de7feaf34b618e4ff2a4ab8b95a027829e2465a2f828dc2415819837c, 0x56a41c5d0658ee28116afd64c093038beb9e83d988377e1740af6f60dbf7e36f;;0.0;0.0;0;0;;False
0xE40e0A8d7c56cb4504Aeea31a8F8828Bbf205c80;1.0;-0.07374;1;0;1.0;0.0;1.0;1;0;1;1.0;0.0;0.0;0.07374;0.0;0.0;0x9a965a4dbc6ed63784ebcf4164406f029046dfef6ebf01b7e8327abc04916d9a;;0.0;0.0;0;0;;False
0x4b42Cb98FF7CDa7b87Ec532a519cDC3741035F60;35.36;-2.177;3;0;35.36;0.0;35.36;35;0;35;35.37;0.0;0.0;2.177;0.0;0.0;0x79b8bec9cc1ad694309dee01f3d2bdacaa6b369d884c72209e330507d366a879, 0x974d147949fab403127542b92e6196b5ebb321c888f1f020adf539fbffb4031f, 0x7882fdc5432678ba29d63930cbb215a9a9f4ccfc0418f9cda41cef48a48ee6b3;;0.0;0.0;0;0;;False
0x4B52db0454D9593B633dAb3aE5F037976899E576;2.0;-0.1336;1;0;2.0;0.0;2.0;0;0;0;2.0;0.0;0.0;0.1336;0.0;0.0;0xf472bac1c90536726d6820586e0e1ffe94e9c3e0fc2ade5cf842fea05a16c536;;0.0;0.0;0;0;;False
0xE592427A0AEce92De3Edee1F18E0157C05861564;0.0;0.0;0;0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;2.448;0x1817c22fb632583d5afcdbb6fc6d312900ac4352c1a20fc9cb441fb03887fd20, 0xfe515cc02da04e006c44c01ff99e95bc57a6ad113b7f1744a80355fb11119404, 0x9ad0b66ddf0918fab22f0c96b6e4c8d2031ae9dee891e15fc69c9cdffebea5f9, 0x339f8f892990ca4ab6ad8ace2408f17528f87ecaf3435b26967b6da5816f503b;0x68B531349EB44496943Be5FF15A5F510849D561f;0.0;0.0;0;0;;True
0xb717E7f13Bb369c935c09b65F1b62EBeC4d96E1f;20.33;-1.987;3;0;20.33;0.0;20.33;20;0;20;20.34;0.0;0.0;1.987;0.0;0.0;0xc1d2fb47df395754681b186e0373cd66c880770df8a43158953b8b578c56abb3, 0x4bf8b1f663d4e4fcea38511b511033e2e65f122584a535fa4d35ff31c5067cc4, 0xe4401b2e85938e85b984c26d5fc7501fe51f0d0bd3e7ad3626de8ae6ba3a13bf;;0.0;0.0;0;0;;False
0x41168480C9B6051dcFcD9C91F78562F7F678255d;0.0;-0.1837;1;1;7.0;7.0;0.0;7;7;0;7.0;7.0;0.4699;0.6536;0.0;0.0;0xb90ddf9cae242692695d9569f8eda909cb3190eea0efa83df2bd54f80af663e6, 0x808c8b37365caba7e83c29b86fc51b806c455d2781bfa76e05847f0e73bd55de;;0.0;0.0;0;0;;False
0xADE9E683Cfa84d4c47D74DE76AFe8c4d7042EB2b;0.97;-0.1;1;0;0.97;0.0;0.97;0;0;0;0.9756;0.0;0.0;0.1;0.0;0.0;0x9d423645c20c5944fa0e5f7b0b7c263e46bfbe958fc4236ff20327a74646e8f7;;0.0;0.0;0;0;;False
0x74de5d4FCbf63E00296fd95d33236B9794016631;0.0;0.0;1;1;4.0;4.0;0.0;4;4;0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0;0;;True
